customer_id,list_price
3120,2091.47
3120,1129.13
3120,100.35
3120,569.56
3120,1577.53
3120,416.98
3120,1466.68
402,1793.43
402,1720.7
402,1231.15
402,2091.47
402,71.16
402,1240.31
3135,1198.46
3135,1061.56
3135,358.39
3135,1061.56
3135,1945.43
3135,71.49
3135,1842.92
787,1765.3
787,1292.84
787,2083.94
787,1458.17
787,1458.17
787,441.49
787,60.34
787,230.91
787,1812.75
787,688.63
2339,1538.99
2339,1977.36
2339,795.34
2339,363.01
2339,1661.92
2339,1636.9
2339,543.39
2339,441.49
1542,60.34
1542,792.9
1542,1661.92
1542,1216.14
1542,1894.19
2459,1292.84
2459,642.7
2459,235.63
2459,1073.07
2459,1227.34
2459,1720.7
2459,1842.92
2459,533.51
2459,544.05
2459,1129.13
2459,1635.3
1305,1071.23
1305,1151.96
1305,1466.68
1305,227.88
1305,945.04
3262,1231.15
3262,1386.84
3262,1765.3
3262,290.62
3262,795.34
3262,1703.52
3262,358.39
3262,1227.34
3262,1129.13
3262,12.01
1986,574.64
1986,1555.58
1986,575.27
1986,175.89
1986,227.88
1986,1362.99
2783,71.16
2783,1071.23
2783,183.86
2783,235.63
2783,569.56
2783,1810.0
2783,1073.07
2783,544.05
2783,2005.66
2783,1227.34
2783,227.88
1243,1057.51
1243,1458.17
1243,544.05
1243,574.64
1243,358.39
1243,1274.93
1243,1386.84
1243,1661.92
1243,1538.99
1243,1769.64
2717,1661.92
2717,2005.66
2717,1466.68
2717,642.7
2717,290.62
2717,183.86
2717,590.26
2717,1172.78
2717,1890.39
247,1765.3
247,2091.47
247,175.89
247,575.27
247,1945.43
247,1810.0
247,1415.01
2961,2091.47
2961,958.74
2961,1769.64
2961,1812.75
2961,1555.58
2961,795.34
1842,1311.44
1842,912.52
1842,748.17
1842,1762.96
1842,1807.45
2268,1292.84
2268,1228.07
2268,1151.96
2268,1992.93
2268,1073.07
2268,71.16
2268,1061.56
2268,1386.84
3002,1538.99
3002,748.17
3002,792.9
3002,569.56
3002,1240.31
3002,227.88
1582,499.53
1582,1061.56
1582,1555.58
1582,1024.66
1582,1061.56
2001,1793.43
2001,1403.5
2001,1469.44
2001,1661.92
2001,1057.51
2001,1240.31
2001,478.16
2001,912.52
515,1538.99
515,1775.81
515,1231.15
515,569.56
515,912.52
515,2091.47
515,1842.92
515,1071.23
2822,1362.99
2822,1228.07
2822,1793.43
2822,100.35
2822,980.37
2822,71.16
2822,2005.66
2822,688.63
2596,1469.44
2596,1793.43
2596,1703.52
2596,945.04
2596,1762.96
2666,1469.44
2666,544.05
2666,1977.36
2666,544.05
76,574.64
76,1274.93
76,1280.28
76,575.27
76,1274.93
76,499.53
76,1873.97
76,71.49
3368,360.4
3368,1807.45
3368,1216.14
3368,495.72
3368,2091.47
2810,1198.46
2810,1216.14
2810,586.45
2810,202.62
2810,290.62
2810,175.89
3214,1403.5
3214,2091.47
3214,363.01
3214,980.37
1272,1538.99
1272,227.88
1272,792.9
1272,2005.66
1272,1240.31
1272,1890.39
1272,235.63
1272,1386.84
1272,1810.0
2171,544.05
2171,569.56
2171,642.31
2171,60.34
2171,1280.28
2171,1403.5
3356,1415.01
3356,1483.2
3356,1274.93
3356,569.56
3356,1538.99
1040,1842.92
1040,958.74
1040,290.62
1040,980.37
2916,71.49
2916,1577.53
2916,499.53
2916,1415.01
2916,1231.15
2916,1703.52
2916,1977.36
427,1231.15
427,1289.85
427,1415.01
427,742.54
2448,544.05
2448,958.74
2448,980.37
2448,1129.13
2448,642.7
