customer_id,transaction_month,transaction_month_number,online_order,order_status,brand,product_line,product_class,product_size,list_price_categories,list_price,gender,job_title,job_industry_category,wealth_segment,tenure,postcode,state,property_valuation,Age_category,past_3_years_bike_related_purchases_categories,cluster,LP
3120,May,5,True,Approved,Trek Bicycles,Standard,medium,large,Above 2000,2091.47,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,11
3120,Oct,10,False,Approved,Giant Bicycles,Standard,high,medium,1001-1200,1129.13,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,6
3120,Oct,10,True,Approved,Solex,Standard,medium,medium,Below 200,100.35,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,1
3120,Jan,1,False,Approved,Giant Bicycles,Standard,medium,large,401-600,569.56,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,3
3120,Jan,1,True,Approved,Solex,Standard,medium,medium,1401-1600,1577.53,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,8
3120,Dec,12,False,Approved,Solex,Road,medium,medium,401-600,416.98,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,3
3120,Oct,10,False,Approved,WeareA2B,Touring,medium,medium,1401-1600,1466.68,Female,Clinical Specialist,Health,Mass Customer,10,2196,NSW,5,35-44,81-90,Cat_2,8
402,Oct,10,False,Approved,OHM Cycles,Standard,low,medium,1601-1800,1793.43,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,9
402,Nov,11,True,Approved,Trek Bicycles,Road,low,small,1601-1800,1720.7,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,9
402,Sep,9,True,Approved,WeareA2B,Standard,medium,medium,1201-1400,1231.15,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,7
402,Jan,1,False,Approved,Trek Bicycles,Standard,medium,large,Above 2000,2091.47,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,11
402,May,5,True,Approved,OHM Cycles,Standard,low,medium,Below 200,71.16,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,1
402,Oct,10,False,Approved,Norco Bicycles,Road,medium,large,1201-1400,1240.31,Male,Desktop Support Technician,Retail,Affluent Customer,22,2835,NSW,1,45-54,Below 10,Cat_1,7
3135,Aug,8,False,Approved,Norco Bicycles,Standard,medium,medium,1001-1200,1198.46,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,6
3135,Feb,2,True,Approved,Solex,Standard,medium,large,1001-1200,1061.56,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,6
3135,Feb,2,False,Approved,Trek Bicycles,Standard,high,medium,201-400,358.39,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,2
3135,May,5,False,Approved,Solex,Standard,medium,large,1001-1200,1061.56,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,6
3135,May,5,False,Approved,Solex,Standard,medium,medium,1801-2000,1945.43,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,10
3135,May,5,False,Approved,Solex,Standard,medium,medium,Below 200,71.49,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,1
3135,Feb,2,True,Approved,Solex,Standard,high,large,1801-2000,1842.92,Male,Staff Scientist,Financial Services,Mass Customer,16,2096,NSW,10,55-64,81-90,Cat_3,10
787,Oct,10,True,Approved,Giant Bicycles,Standard,medium,large,1601-1800,1765.3,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,9
787,Jan,1,True,Approved,WeareA2B,Standard,medium,medium,1201-1400,1292.84,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,7
787,Jun,6,False,Approved,Solex,Touring,medium,large,Above 2000,2083.94,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,11
787,Aug,8,True,Approved,OHM Cycles,Standard,high,medium,1401-1600,1458.17,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,8
787,Jun,6,True,Approved,OHM Cycles,Standard,high,medium,1401-1600,1458.17,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,8
787,Sep,9,True,Approved,Solex,Standard,medium,medium,401-600,441.49,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,3
787,Feb,2,True,Approved,WeareA2B,Standard,medium,medium,Below 200,60.34,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,1
787,Oct,10,False,Approved,Giant Bicycles,Standard,medium,medium,201-400,230.91,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,2
787,Apr,4,True,Approved,Giant Bicycles,Standard,medium,large,1801-2000,1812.75,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,10
787,May,5,True,Approved,Norco Bicycles,Mountain,low,small,601-800,688.63,Female,Sales Representative,Retail,Affluent Customer,2,2292,NSW,7,25-34,21-30,Cat_3,4
